ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
9,Student_9,6.4,66,43.6,F,Fail,52.16
16,Student_16,2.7,67,45.8,F,Fail,46.279999999999994
25,Student_25,5.1,81,49.1,F,Fail,55.86
32,Student_32,2.5,70,45.3,F,Fail,46.17999999999999
34,Student_34,9.5,56,47.7,F,Fail,58.82
38,Student_38,1.9,58,42.2,F,Fail,40.72
42,Student_42,5.5,99,45.3,F,Fail,57.98
56,Student_56,9.3,73,47.0,F,Fail,61.4
64,Student_64,4.2,89,44.9,F,Fail,53.13999999999999
72,Student_72,2.8,78,48.0,F,Fail,50.0
81,Student_81,8.8,93,48.8,F,Fail,65.47999999999999
84,Student_84,1.6,91,41.5,F,Fail,46.3
85,Student_85,3.8,83,48.1,F,Fail,53.06
93,Student_93,7.8,88,46.3,F,Fail,60.98
98,Student_98,4.8,93,49.1,F,Fail,57.660000000000004
99,Student_99,1.2,65,43.7,F,Fail,41.62
102,Student_102,6.7,59,43.5,F,Fail,51.3
104,Student_104,5.6,74,43.5,F,Fail,52.099999999999994
108,Student_108,7.8,50,48.5,F,Fail,54.699999999999996
109,Student_109,3.1,79,47.3,F,Fail,50.38
111,Student_111,3.6,52,46.1,F,Fail,45.260000000000005
113,Student_113,9.4,63,43.7,F,Fail,57.620000000000005
122,Student_122,9.1,95,47.8,F,Fail,65.88
131,Student_131,4.8,86,40.7,F,Fail,51.220000000000006
134,Student_134,4.0,88,41.2,F,Fail,50.32000000000001
140,Student_140,9.7,74,40.7,F,Fail,58.62
146,Student_146,1.3,100,46.6,F,Fail,50.56
150,Student_150,3.5,92,45.9,F,Fail,52.94
152,Student_152,3.2,75,49.0,F,Fail,50.8
168,Student_168,2.7,99,42.3,F,Fail,50.58
176,Student_176,2.6,62,44.0,F,Fail,44.0
178,Student_178,4.5,74,49.0,F,Fail,53.2
182,Student_182,2.0,86,42.5,F,Fail,46.7
183,Student_183,9.3,83,45.1,F,Fail,62.26
185,Student_185,3.3,90,44.3,F,Fail,51.18
186,Student_186,6.9,52,44.3,F,Fail,50.78
187,Student_187,8.4,77,40.7,F,Fail,56.620000000000005
197,Student_197,7.5,89,45.9,F,Fail,60.34
201,Student_201,6.8,83,41.3,F,Fail,54.98
202,Student_202,1.8,73,44.9,F,Fail,45.14
209,Student_209,1.0,67,47.3,F,Fail,43.78
214,Student_214,3.0,77,42.5,F,Fail,46.9
224,Student_224,4.3,52,47.7,F,Fail,47.620000000000005
234,Student_234,5.4,68,47.3,F,Fail,52.78
254,Student_254,3.9,80,42.6,F,Fail,49.36
255,Student_255,2.5,72,49.9,F,Fail,49.339999999999996
256,Student_256,6.0,91,47.9,F,Fail,58.94
272,Student_272,8.3,81,49.6,F,Fail,62.559999999999995
274,Student_274,9.2,95,40.6,F,Fail,61.76
278,Student_278,6.8,66,46.0,F,Fail,54.4
289,Student_289,3.6,56,40.3,F,Fail,42.58
291,Student_291,1.3,90,42.1,F,Fail,45.86000000000001
297,Student_297,7.9,86,48.9,F,Fail,62.33999999999999
309,Student_309,8.2,71,40.2,F,Fail,54.72
313,Student_313,1.2,71,45.6,F,Fail,43.96
317,Student_317,4.7,63,43.9,F,Fail,48.339999999999996
327,Student_327,6.0,82,44.6,F,Fail,55.160000000000004
328,Student_328,6.5,55,43.5,F,Fail,50.099999999999994
335,Student_335,1.4,75,48.8,F,Fail,47.08
338,Student_338,7.3,83,45.3,F,Fail,58.38
348,Student_348,1.4,78,47.1,F,Fail,46.66
357,Student_357,1.2,76,41.6,F,Fail,42.56
358,Student_358,6.3,52,41.5,F,Fail,47.9
372,Student_372,1.2,50,48.0,F,Fail,41.199999999999996
373,Student_373,1.8,87,44.8,F,Fail,47.88
379,Student_379,8.3,73,49.5,F,Fail,60.9
381,Student_381,2.1,67,48.1,F,Fail,46.46
385,Student_385,7.6,76,44.1,F,Fail,56.86
386,Student_386,8.2,57,43.4,F,Fail,53.839999999999996
396,Student_396,9.4,56,43.9,F,Fail,56.34
398,Student_398,4.9,78,42.0,F,Fail,50.599999999999994
399,Student_399,7.8,93,43.8,F,Fail,60.48
406,Student_406,9.1,79,41.3,F,Fail,58.78
411,Student_411,3.9,69,43.1,F,Fail,47.459999999999994
424,Student_424,5.4,70,46.8,F,Fail,52.879999999999995
425,Student_425,1.5,67,49.1,F,Fail,45.86
431,Student_431,2.3,87,46.9,F,Fail,50.14
434,Student_434,1.9,94,44.1,F,Fail,49.06
437,Student_437,1.7,87,44.9,F,Fail,47.74
440,Student_440,1.7,60,49.9,F,Fail,45.339999999999996
448,Student_448,7.8,81,43.7,F,Fail,58.02
456,Student_456,5.4,89,49.9,F,Fail,58.53999999999999
468,Student_468,8.8,75,41.6,F,Fail,57.56
469,Student_469,3.0,71,43.9,F,Fail,46.54
474,Student_474,9.0,75,46.3,F,Fail,60.78
490,Student_490,9.0,80,49.5,F,Fail,63.7
